"ISSCAAP","TAXOCODE","X3A_CODE","Scientific_name","English_name","French_name","Spanish_name","Arabic_name","Chinese_name","Russian_name","Author","Family","Order","Stats_data","geometry"
11,"1400203601","YCE","Cyclocheilichthys enoplos","","","","","","","(Bleeker 1850)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203602","YCA","Cyclocheilichthys apogon","Beardless barb","","","","","Барбус апогон","(Valenciennes 1842)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400203603","YCD","Cyclocheilichthys dumerilii","","","","","","","Sauvage 1881","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203604","YCQ","Cyclocheilichthys armatus","","","","","","","(Valenciennes 1842)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400203701","DAE","Danio aequipinnatus","Giant danio","","","","","","(McClelland 1839)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203703","DAD","Danio dangila","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203704","DAV","Danio devario","Sind danio","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203706","DAI","Danio rerio","Zebra danio","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203708","DAF","Danio frankei","Leopard danio","","","","","","(Meinken 1963)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203901","ABI","Alburnoides bipunctatus","Schneider","Spirlin","","","","","(Bloch 1782)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204101","GIN","Gila nigrescens","Chihuahua chub","","","","","","(Girard 1856)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204102","GIA","Gila atraria","Utah chub","","","","","","(Girard 1856)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204103","GIB","Gila bicolor","Tui chub","","","","","","(Girard 1856)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204104","GIC","Gila cypha","Humpback chub","","","","","","Miller 1946","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204105","GIE","Gila elegans","Bonytail","","","","","","Baird & Girard 1853","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204106","GIR","Gila robusta","Roundtail chub","","","","","","Baird & Girard 1853","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204201","HMD","Hampala dispar","","","","","","","Smith 1934","Cyprinidae","CYPRINIFORMES","NO",""
